Customers,Quantity,Date,Total Payment in TND
Attijari Bank,42,2021-03-19,677418
Arab Tunisian Bank (ATB),192,2019-06-28,1927296
Banque de l'Habitat (BH),68,2017-06-09,867136
Banque Internationale Arabe de Tunisie (BIAT),120,2014-03-10,1487640
Banque Tuniso-Libyenne (BTL),194,2021-12-21,3768062
Arab Tunisian Bank (ATB),67,2020-09-06,1317488
Attijari Bank,139,2022-10-21,2026898
Banque de l'Habitat (BH),71,2018-06-03,1073946
Attijari Bank,156,2015-07-19,2459808
Banque Tuniso-Libyenne (BTL),135,2018-08-19,1440720
Attijari Bank,60,2006-06-15,817800
Banque de Tunisie (BT),182,2019-11-24,3377556
Banque de Tunisie (BT),141,2007-05-26,2453823
Attijari Bank,186,2018-10-18,3354510
Banque de Tunisie (BT),47,2022-05-15,657436
Amen Bank (AB),134,2023-01-12,1470382
Banque Nationale Agricole (BNA),98,2015-04-10,1825446
Attijari Bank,57,2015-09-15,930639
Banque Tuniso-Libyenne (BTL),94,2018-06-12,941128
Banque Nationale Agricole (BNA),119,2002-07-04,1375878
Amen Bank (AB),181,2014-07-22,3413841
La Poste Tunisienne,105,2021-04-06,1546545
Arab Banking Corporation (ABC),76,2022-12-24,1048116
Attijari Bank,98,2004-11-28,1210202
Banque de Tunisie (BT),142,2019-06-14,1820866
Arab Tunisian Bank (ATB),126,2012-05-05,2387574
Arab Tunisian Bank (ATB),162,2020-11-11,2375568
La Poste Tunisienne,70,2014-02-04,788130
Arab Tunisian Bank (ATB),138,2020-10-09,2120784
La Poste Tunisienne,43,2010-07-01,446125
Banque de Tunisie (BT),123,2008-04-15,1828272
Banque de Tunisie (BT),164,2004-06-10,2044752
Arab Banking Corporation (ABC),83,2015-11-30,1488356
Arab Banking Corporation (ABC),113,2021-04-06,1391143
Arab Banking Corporation (ABC),188,2001-05-30,2192268
Attijari Bank,25,2003-01-18,375950
Banque de Tunisie (BT),177,2022-03-27,2455698
Attijari Bank,144,2019-06-23,2854224
Arab Tunisian Bank (ATB),65,2006-06-14,982345
Arab Banking Corporation (ABC),35,2015-01-22,355005
Arab Banking Corporation (ABC),121,2012-05-01,2178847
Banque de Tunisie (BT),41,2007-12-02,609670
Arab Banking Corporation (ABC),27,2002-11-28,468828
Attijari Bank,105,2016-05-27,1545600
Arab Banking Corporation (ABC),39,2014-11-17,767520
Amen Bank (AB),103,2021-05-25,1846996
Banque de Tunisie (BT),87,2016-11-26,912543
Arab Tunisian Bank (ATB),133,2016-09-26,2185190
Amen Bank (AB),99,2008-08-24,1537272
Banque de Tunisie (BT),26,2012-10-03,280124
La Poste Tunisienne,169,2018-09-29,1893814
Banque Tuniso-Libyenne (BTL),199,2004-02-29,3948558
Arab Banking Corporation (ABC),114,2016-02-28,1194720
Arab Tunisian Bank (ATB),51,2023-05-30,580431
Arab Banking Corporation (ABC),135,2002-11-05,2201850
Banque Internationale Arabe de Tunisie (BIAT),123,2005-08-13,1584732
Banque Tuniso-Libyenne (BTL),125,2001-03-10,1275500
Arab Tunisian Bank (ATB),81,2010-01-12,1428273
Banque Tuniso-Libyenne (BTL),139,2007-12-25,2746779
La Poste Tunisienne,180,2006-07-27,1990800
Banque Internationale Arabe de Tunisie (BIAT),164,2012-09-29,3070080
Banque de Tunisie (BT),91,2017-02-13,1339065
Banque Nationale Agricole (BNA),109,2023-06-12,1683723
Arab Banking Corporation (ABC),199,2003-06-17,3156737
Arab Tunisian Bank (ATB),134,2020-06-15,1803640
Amen Bank (AB),141,2008-12-07,2241618
Banque Tuniso-Libyenne (BTL),29,2021-12-14,322480
La Poste Tunisienne,156,2011-05-28,2891148
Banque Internationale Arabe de Tunisie (BIAT),187,2017-12-14,3276614
Banque de l'Habitat (BH),102,2013-03-25,1778676
Arab Banking Corporation (ABC),30,2002-05-22,585060
Arab Banking Corporation (ABC),161,2008-03-15,2281370
Banque Tuniso-Libyenne (BTL),179,2011-02-02,2581717
Attijari Bank,64,2007-11-21,841728
Arab Banking Corporation (ABC),116,2018-01-24,1632816
La Poste Tunisienne,115,2010-01-31,1624145
La Poste Tunisienne,86,2006-08-06,1023400
Banque Tuniso-Libyenne (BTL),188,2005-05-31,2082288
Banque Nationale Agricole (BNA),192,2020-05-19,2786304
La Poste Tunisienne,111,2023-12-08,1497945
Arab Banking Corporation (ABC),60,2015-05-18,883620
Arab Banking Corporation (ABC),158,2009-01-01,2782064
Banque de Tunisie (BT),158,2016-10-27,1903110
Attijari Bank,110,2013-04-06,1577180
Banque de Tunisie (BT),138,2013-12-29,2624898
La Poste Tunisienne,169,2003-11-25,1795963
Banque de Tunisie (BT),184,2007-01-07,3230304
La Poste Tunisienne,198,2005-05-31,3174732
Banque Internationale Arabe de Tunisie (BIAT),40,2022-08-03,587440
Banque de l'Habitat (BH),147,2005-12-16,1886892
Arab Tunisian Bank (ATB),121,2005-03-29,2182477
Arab Banking Corporation (ABC),166,2021-11-26,2540464
Amen Bank (AB),166,2016-07-27,1884100
La Poste Tunisienne,48,2004-01-10,737088
Banque Internationale Arabe de Tunisie (BIAT),150,2021-02-19,2733150
Arab Banking Corporation (ABC),69,2012-05-16,1194114
Attijari Bank,67,2016-12-05,890430
Banque de Tunisie (BT),199,2003-12-24,3697022
Banque Tuniso-Libyenne (BTL),133,2002-02-22,2501065
Banque de l'Habitat (BH),162,2023-12-31,2680290
Banque Internationale Arabe de Tunisie (BIAT),28,2022-04-04,357980
Banque de Tunisie (BT),25,2001-10-25,280050
Amen Bank (AB),88,2009-05-19,883608
Banque Internationale Arabe de Tunisie (BIAT),63,2010-01-02,719838
Banque de Tunisie (BT),185,2003-01-22,2130645
Banque de Tunisie (BT),66,2021-10-07,1043658
Banque de l'Habitat (BH),61,2005-05-19,627324
Banque Tuniso-Libyenne (BTL),162,2015-07-27,2341872
Banque Tuniso-Libyenne (BTL),36,2020-04-04,664776
Banque Tuniso-Libyenne (BTL),46,2018-02-23,639400
Banque de l'Habitat (BH),77,2023-05-05,1036112
Banque de Tunisie (BT),29,2005-12-23,495436
Attijari Bank,68,2005-04-10,1350480
Banque de Tunisie (BT),104,2009-10-26,1191216
Banque Tuniso-Libyenne (BTL),110,2023-11-07,2136090
Banque de l'Habitat (BH),20,2014-06-04,254300
Banque de l'Habitat (BH),151,2023-05-12,2118077
Banque Internationale Arabe de Tunisie (BIAT),86,2023-11-24,1289914
Banque Nationale Agricole (BNA),30,2019-08-13,443670
Attijari Bank,22,2015-06-17,334818
Attijari Bank,80,2018-09-01,1532080
Arab Banking Corporation (ABC),115,2015-02-05,1460845
Banque Nationale Agricole (BNA),176,2010-06-09,2877248
Banque Internationale Arabe de Tunisie (BIAT),104,2011-06-11,1966640
Arab Banking Corporation (ABC),26,2015-10-30,506740
Amen Bank (AB),37,2019-07-05,724719
Arab Tunisian Bank (ATB),199,2002-09-01,3721300
Attijari Bank,40,2006-03-17,465600
Banque Internationale Arabe de Tunisie (BIAT),111,2020-05-09,1999887
Banque Internationale Arabe de Tunisie (BIAT),166,2023-01-09,3297922
Arab Tunisian Bank (ATB),69,2011-09-06,1276569
Arab Banking Corporation (ABC),21,2003-09-07,317709
Banque Nationale Agricole (BNA),163,2018-10-23,2315252
Banque Nationale Agricole (BNA),100,2012-06-30,1540800
Arab Tunisian Bank (ATB),161,2018-01-07,2390367
Banque de Tunisie (BT),92,2000-08-21,1023776
Arab Banking Corporation (ABC),62,2008-06-07,1149046
Arab Banking Corporation (ABC),121,2018-11-03,1903935
Amen Bank (AB),24,2017-01-27,304752
Amen Bank (AB),50,2011-07-07,972050
Arab Tunisian Bank (ATB),186,2023-03-03,3075882
Banque Tuniso-Libyenne (BTL),140,2022-02-07,2049040
Banque de Tunisie (BT),135,2022-03-06,2058750
Banque de l'Habitat (BH),197,2014-10-10,3027890
Banque de Tunisie (BT),191,2012-05-09,3519366
Attijari Bank,109,2009-11-19,1963526
Banque Nationale Agricole (BNA),146,2007-07-18,2073930
Banque Nationale Agricole (BNA),180,2022-02-12,1977300
Attijari Bank,62,2001-10-27,683488
Banque Nationale Agricole (BNA),81,2003-06-06,1534059
Amen Bank (AB),137,2004-06-20,1712911
Attijari Bank,85,2007-04-18,1373770
Banque Internationale Arabe de Tunisie (BIAT),20,2016-01-02,254780
Banque Internationale Arabe de Tunisie (BIAT),163,2014-09-05,3111507
Banque Internationale Arabe de Tunisie (BIAT),148,2007-02-26,2331444
Attijari Bank,46,2010-12-12,618792
Banque Internationale Arabe de Tunisie (BIAT),149,2023-08-09,2303242
Banque de l'Habitat (BH),80,2017-10-16,1064080
Banque de l'Habitat (BH),174,2017-03-24,1950192
La Poste Tunisienne,145,2011-10-30,1554545
Banque Nationale Agricole (BNA),183,2009-01-17,3160410
La Poste Tunisienne,190,2008-11-11,3618360
Banque de l'Habitat (BH),111,2007-07-13,1172049
Attijari Bank,39,2019-10-19,720486
Banque de Tunisie (BT),157,2008-10-30,1699525
Banque Nationale Agricole (BNA),144,2022-05-27,1774224
Banque Tuniso-Libyenne (BTL),67,2022-02-25,1203856
Banque Internationale Arabe de Tunisie (BIAT),150,2011-11-28,2782650
Banque Tuniso-Libyenne (BTL),159,2016-08-26,1818006
Banque Tuniso-Libyenne (BTL),133,2017-04-19,1405544
Attijari Bank,37,2011-01-06,597439
Arab Tunisian Bank (ATB),149,2007-10-24,1893194
Banque Tuniso-Libyenne (BTL),148,2006-04-17,2699224
Banque Nationale Agricole (BNA),23,2018-03-09,230736
Banque Tuniso-Libyenne (BTL),76,2010-11-03,949088
Arab Tunisian Bank (ATB),86,2018-11-06,1367916
La Poste Tunisienne,86,2002-07-23,1162892
Arab Tunisian Bank (ATB),138,2013-04-01,2270928
Amen Bank (AB),54,2021-11-02,925290
Arab Banking Corporation (ABC),115,2010-03-11,2209380
Amen Bank (AB),140,2015-12-12,2511880
Banque de Tunisie (BT),80,2000-07-16,1249520
Banque de Tunisie (BT),147,2020-10-27,1545558
Arab Banking Corporation (ABC),50,2010-06-05,573050
Arab Banking Corporation (ABC),146,2005-12-01,1583808
Banque de l'Habitat (BH),37,2009-04-07,619195
Arab Tunisian Bank (ATB),88,2010-07-31,971344
Banque de Tunisie (BT),121,2005-05-26,2215026
Arab Banking Corporation (ABC),23,2019-02-16,306705
Banque de l'Habitat (BH),123,2019-07-18,1664313
Banque de l'Habitat (BH),26,2002-06-02,275444
Banque Nationale Agricole (BNA),36,2002-09-27,596268
Arab Banking Corporation (ABC),140,2008-11-18,1775060
Amen Bank (AB),39,2008-08-02,776412
Banque de l'Habitat (BH),103,2018-06-05,1317473
Arab Tunisian Bank (ATB),40,2002-07-06,797520
Amen Bank (AB),85,2018-10-19,1463105
Banque Tuniso-Libyenne (BTL),50,2001-09-04,767250
Arab Tunisian Bank (ATB),115,2004-11-13,2278725
La Poste Tunisienne,187,2022-04-22,2245122
Amen Bank (AB),175,2010-06-17,3446625
Attijari Bank,180,2008-12-21,3182220
Amen Bank (AB),105,2017-01-07,1816605
La Poste Tunisienne,129,2016-07-13,2386629
Banque de Tunisie (BT),56,2007-02-26,896112
Banque de Tunisie (BT),149,2020-02-07,2791962
Banque de l'Habitat (BH),23,2021-01-18,333592
Arab Banking Corporation (ABC),190,2020-03-15,3274080
Banque Internationale Arabe de Tunisie (BIAT),40,2015-02-13,434640
Arab Tunisian Bank (ATB),127,2014-02-01,2444369
Arab Banking Corporation (ABC),105,2021-04-05,1408995
Banque Internationale Arabe de Tunisie (BIAT),158,2006-09-28,1620132
Amen Bank (AB),84,2023-08-26,1153404
Banque de l'Habitat (BH),156,2019-08-09,3115632
Amen Bank (AB),124,2006-05-03,1536484
Banque Nationale Agricole (BNA),24,2000-09-20,310416
Banque de Tunisie (BT),23,2011-01-01,271308
Banque de Tunisie (BT),86,2003-11-19,894056
Banque Tuniso-Libyenne (BTL),22,2002-01-31,418726
Attijari Bank,25,2014-04-04,456725
Banque Internationale Arabe de Tunisie (BIAT),70,2005-01-09,724010
Attijari Bank,61,2020-04-01,702476
Banque de Tunisie (BT),157,2007-06-25,3049097
Banque Internationale Arabe de Tunisie (BIAT),132,2014-02-16,1368708
Banque de l'Habitat (BH),30,2012-04-19,511620
Attijari Bank,47,2016-07-12,807601
Banque de l'Habitat (BH),123,2004-08-28,1403307
Banque Nationale Agricole (BNA),171,2015-05-24,2970783
La Poste Tunisienne,181,2007-12-03,2930571
Banque Internationale Arabe de Tunisie (BIAT),104,2018-11-04,1511224
Arab Tunisian Bank (ATB),27,2021-02-19,275211
Arab Tunisian Bank (ATB),142,2022-10-06,1985444
Banque de Tunisie (BT),106,2003-09-29,1291398
Banque Nationale Agricole (BNA),27,2014-12-15,339444
Banque Tuniso-Libyenne (BTL),131,2018-09-01,2315687
Banque Tuniso-Libyenne (BTL),66,2001-09-14,740586
La Poste Tunisienne,130,2006-02-24,2428790
La Poste Tunisienne,32,2012-06-30,333600
Banque de l'Habitat (BH),39,2014-09-15,734877
Arab Banking Corporation (ABC),139,2022-02-11,2083332
Arab Banking Corporation (ABC),103,2014-04-26,1363411
Banque de l'Habitat (BH),128,2017-06-09,1792256
Arab Tunisian Bank (ATB),42,2019-04-23,586194
Arab Banking Corporation (ABC),98,2015-02-14,1099854
La Poste Tunisienne,88,2003-06-10,1097096
Arab Banking Corporation (ABC),41,2007-01-17,580806
Banque Tuniso-Libyenne (BTL),137,2007-10-12,2002940
Arab Banking Corporation (ABC),166,2017-03-19,2806728
Banque de Tunisie (BT),116,2019-04-21,1622492
La Poste Tunisienne,133,2002-02-12,1856148
Banque Nationale Agricole (BNA),101,2017-05-06,1730736
Banque de l'Habitat (BH),29,2005-10-17,523073
Amen Bank (AB),114,2005-01-06,1969008
Banque Tuniso-Libyenne (BTL),24,2000-08-15,272712
Attijari Bank,192,2001-10-12,2102592
Arab Tunisian Bank (ATB),181,2009-07-15,3310490
Arab Banking Corporation (ABC),163,2001-08-23,2060483
Attijari Bank,188,2001-08-20,2275740
Banque de l'Habitat (BH),164,2014-12-10,2621704
Arab Banking Corporation (ABC),97,2014-03-10,1489241
Amen Bank (AB),169,2023-07-26,1961752
Amen Bank (AB),145,2008-09-27,2682355
Banque Nationale Agricole (BNA),95,2009-09-22,1758925
Banque de l'Habitat (BH),101,2009-07-26,1092517
La Poste Tunisienne,131,2022-05-30,1906443
Banque Tuniso-Libyenne (BTL),77,2017-05-07,1536073
Amen Bank (AB),57,2012-06-24,1051878
Banque Nationale Agricole (BNA),125,2017-01-03,1257375
Banque Internationale Arabe de Tunisie (BIAT),22,2007-01-01,361174
Banque Tuniso-Libyenne (BTL),140,2010-10-18,1816360
Banque de l'Habitat (BH),40,2002-11-25,628520
Banque Nationale Agricole (BNA),40,2021-01-09,559680
Banque de Tunisie (BT),122,2020-03-16,1565992
Banque Internationale Arabe de Tunisie (BIAT),153,2000-10-31,2560455
Banque de l'Habitat (BH),69,2022-03-27,1226820
Banque de Tunisie (BT),89,2021-01-09,977042
La Poste Tunisienne,137,2013-11-27,1405757
La Poste Tunisienne,100,2018-02-23,1213300
Banque de l'Habitat (BH),170,2022-03-07,2828970
Banque Tuniso-Libyenne (BTL),198,2010-07-11,3069000
Banque Nationale Agricole (BNA),59,2023-04-26,1008546
Banque Tuniso-Libyenne (BTL),187,2003-11-18,2688499
La Poste Tunisienne,37,2009-03-04,453361
Arab Tunisian Bank (ATB),196,2016-10-17,2960580
Banque de Tunisie (BT),115,2017-04-29,1586655
Arab Banking Corporation (ABC),46,2003-05-03,902336
Amen Bank (AB),49,2007-05-07,825209
Banque Nationale Agricole (BNA),159,2001-05-08,2126625
Amen Bank (AB),147,2006-11-09,2781534
Banque Internationale Arabe de Tunisie (BIAT),85,2001-06-19,1145545
Arab Tunisian Bank (ATB),142,2022-06-30,2784052
Banque de Tunisie (BT),177,2019-12-08,2302770
Banque Nationale Agricole (BNA),66,2000-10-07,943206
Amen Bank (AB),68,2020-07-29,1088068
Amen Bank (AB),139,2004-11-16,1531919
Amen Bank (AB),71,2014-10-04,776030
Arab Tunisian Bank (ATB),147,2011-01-04,2400804
Arab Tunisian Bank (ATB),23,2005-04-05,433458
Arab Banking Corporation (ABC),101,2002-05-16,1291184
Amen Bank (AB),82,2006-07-28,1410072
La Poste Tunisienne,24,2013-07-11,296784
Banque Tuniso-Libyenne (BTL),101,2023-01-31,1058480
Banque de Tunisie (BT),177,2023-12-29,2645265
Banque de Tunisie (BT),69,2015-11-03,890376
Attijari Bank,133,2010-06-08,1476167
Banque Nationale Agricole (BNA),167,2001-04-07,2330652
Attijari Bank,66,2012-08-02,1288650
Banque Nationale Agricole (BNA),102,2009-01-29,1921374
Banque de Tunisie (BT),59,2021-01-21,650947
Amen Bank (AB),94,2001-11-12,1382928
Banque Nationale Agricole (BNA),145,2012-04-01,1926180
Banque Nationale Agricole (BNA),146,2010-06-02,1739298
Arab Tunisian Bank (ATB),188,2005-09-12,2882980
Banque de l'Habitat (BH),118,2006-10-08,1911246
Arab Banking Corporation (ABC),130,2006-10-16,2286830
Amen Bank (AB),25,2021-03-17,491550
Banque de Tunisie (BT),88,2016-08-27,915640
Banque Internationale Arabe de Tunisie (BIAT),56,2018-04-16,964656
La Poste Tunisienne,144,2013-04-14,2692224
Banque de Tunisie (BT),59,2011-02-15,907833
Attijari Bank,138,2009-01-07,1490952
Banque Tuniso-Libyenne (BTL),105,2021-07-06,1984710
Arab Banking Corporation (ABC),184,2022-05-23,2710504
Banque Nationale Agricole (BNA),194,2002-05-30,3291404
Amen Bank (AB),193,2005-04-04,3826032
Arab Tunisian Bank (ATB),60,2017-09-06,1086240
Arab Banking Corporation (ABC),183,2001-12-09,1852143
Banque de Tunisie (BT),125,2020-05-04,2317250
Banque Tuniso-Libyenne (BTL),50,2017-03-18,771400
Banque Internationale Arabe de Tunisie (BIAT),190,2008-03-06,3676500
Banque Internationale Arabe de Tunisie (BIAT),101,2005-07-23,1927181
Banque Nationale Agricole (BNA),111,2022-06-04,1960704
Banque de l'Habitat (BH),87,2003-02-01,1733823
Arab Banking Corporation (ABC),46,2006-08-28,890284
La Poste Tunisienne,159,2003-06-02,3010665
Amen Bank (AB),62,2021-11-22,781882
Banque de l'Habitat (BH),141,2019-06-14,1579482
Banque de Tunisie (BT),167,2002-11-17,2775874
Banque Internationale Arabe de Tunisie (BIAT),135,2017-03-18,1655100
Banque de Tunisie (BT),105,2023-02-04,2085720
La Poste Tunisienne,151,2022-07-19,2347446
Amen Bank (AB),120,2018-01-18,1349040
Banque de l'Habitat (BH),72,2009-06-22,827712
Banque de Tunisie (BT),146,2019-04-12,2065462
Arab Tunisian Bank (ATB),169,2008-06-14,2765178
Banque Internationale Arabe de Tunisie (BIAT),142,2015-04-04,2566934
Banque Tuniso-Libyenne (BTL),129,2006-10-21,1460151
Banque de Tunisie (BT),101,2002-01-03,1150794
Banque de l'Habitat (BH),33,2019-01-09,517770
Banque Internationale Arabe de Tunisie (BIAT),85,2021-04-21,1281035
Banque Internationale Arabe de Tunisie (BIAT),138,2003-01-17,1910610
Arab Banking Corporation (ABC),41,2008-11-05,740050
Arab Tunisian Bank (ATB),95,2018-06-05,1621175
Arab Banking Corporation (ABC),104,2010-09-16,1443312
Banque de Tunisie (BT),144,2018-04-20,1880928
La Poste Tunisienne,31,2006-08-12,586551
Banque Tuniso-Libyenne (BTL),155,2010-10-28,2710795
Banque de Tunisie (BT),176,2018-07-20,3261104
Attijari Bank,163,2000-09-20,2612564
Banque de l'Habitat (BH),121,2015-07-09,1648867
Arab Tunisian Bank (ATB),111,2022-04-16,1191363
Banque de Tunisie (BT),169,2006-06-02,2796781
Arab Tunisian Bank (ATB),45,2004-01-23,830700
Banque de Tunisie (BT),93,2007-05-03,1626384
La Poste Tunisienne,181,2015-06-17,2623957
Banque Nationale Agricole (BNA),149,2003-07-28,2177337
Banque Tuniso-Libyenne (BTL),112,2008-01-04,1248800
Attijari Bank,140,2020-08-15,2274160
Banque Tuniso-Libyenne (BTL),56,2021-12-31,811440
Amen Bank (AB),183,2022-03-17,2497950
Banque Tuniso-Libyenne (BTL),63,2002-03-12,1215144
Banque Nationale Agricole (BNA),176,2012-07-18,3398736
Banque de Tunisie (BT),29,2022-10-22,468843
Attijari Bank,183,2000-09-03,2625867
Amen Bank (AB),26,2014-04-25,318890
Banque Tuniso-Libyenne (BTL),163,2013-09-13,2031143
Banque de l'Habitat (BH),138,2019-10-23,2639526
Amen Bank (AB),154,2001-06-19,1943634
Banque Tuniso-Libyenne (BTL),101,2000-07-05,1455814
Amen Bank (AB),105,2005-02-26,2026080
Banque Nationale Agricole (BNA),145,2001-04-03,2761380
Attijari Bank,173,2010-04-22,2489297
Banque de l'Habitat (BH),60,2018-11-30,1028400
Attijari Bank,27,2017-06-20,414153
Banque de Tunisie (BT),47,2004-11-22,642960
Banque Tuniso-Libyenne (BTL),158,2005-01-26,2771162
Banque de l'Habitat (BH),61,2020-03-26,1087264
La Poste Tunisienne,83,2019-04-21,830000
La Poste Tunisienne,110,2005-05-11,1199770
Attijari Bank,57,2021-03-07,725610
Banque de Tunisie (BT),116,2019-07-21,1784428
La Poste Tunisienne,25,2005-05-18,364100
Arab Tunisian Bank (ATB),77,2016-12-30,1261722
Arab Banking Corporation (ABC),110,2022-08-16,1156540
Arab Tunisian Bank (ATB),63,2003-12-18,931833
Banque de l'Habitat (BH),58,2004-08-31,1004676
La Poste Tunisienne,108,2005-04-18,1498932
Banque Internationale Arabe de Tunisie (BIAT),152,2022-08-26,2334416
Banque Tuniso-Libyenne (BTL),94,2001-09-22,973840
La Poste Tunisienne,144,2009-06-12,2752848
Banque Internationale Arabe de Tunisie (BIAT),73,2012-09-02,988274
Attijari Bank,195,2020-06-24,3181035
Banque de l'Habitat (BH),180,2008-03-10,3002580
Banque Nationale Agricole (BNA),47,2020-11-05,485698
Banque Tuniso-Libyenne (BTL),109,2018-07-23,1359666
Attijari Bank,47,2007-11-20,522734
Attijari Bank,150,2022-09-07,1637250
Banque Internationale Arabe de Tunisie (BIAT),82,2008-07-04,861164
La Poste Tunisienne,162,2008-05-25,1756728
Amen Bank (AB),127,2016-01-09,2063750
Attijari Bank,21,2023-07-22,406245
Attijari Bank,28,2013-08-30,342720
