date,bank,town,num_technicians
2020-01-17,Banque de l'Habitat (BH),Ariana,2
2020-01-17,Banque de l'Habitat (BH),Ben Arous,8
2020-01-18,Banque Tuniso-Libyenne (BTL),Kef,4
2020-01-18,Banque Nationale Agricole (BNA),Kairouan,5
2020-01-18,Arab Tunisian Bank (ATB),Medenine,5
2020-01-18,Banque Internationale Arabe de Tunisie (BIAT),Kairouan,5
2020-01-18,Banque Internationale Arabe de Tunisie (BIAT),Manouba,6
2020-01-18,Arab Tunisian Bank (ATB),Sfax,5
2020-01-18,Banque Tuniso-Libyenne (BTL),Manouba,8
2020-01-18,La Poste Tunisienne,Tunis,2
2020-01-18,Banque Tuniso-Libyenne (BTL),Ben Arous,5
2020-01-18,Banque Internationale Arabe de Tunisie (BIAT),Tozeur,3
2020-01-18,Banque de Tunisie (BT),Sidi Bouzid,5
2020-01-19,Arab Banking Corporation (ABC),Tunis,1
2020-01-19,Banque Nationale Agricole (BNA),Tataouine,1
2020-01-19,Banque Tuniso-Libyenne (BTL),Nabeul,8
2020-01-19,Arab Tunisian Bank (ATB),Bizerte,2
2020-01-19,Banque Internationale Arabe de Tunisie (BIAT),Ben Arous,3
2020-01-19,Arab Tunisian Bank (ATB),Medenine,3
2020-01-20,Attijari Bank,Jendouba,6
2020-01-20,Attijari Bank,Béja,7
2020-01-20,Banque de l'Habitat (BH),Jendouba,6
2020-01-20,La Poste Tunisienne,Ben Arous,5
2020-01-20,Banque de Tunisie (BT),Siliana,5
2020-01-20,Banque de Tunisie (BT),Béja,6
2020-01-20,La Poste Tunisienne,Zaghouan,5
2020-01-20,La Poste Tunisienne,Gafsa,6
2020-01-20,Banque Internationale Arabe de Tunisie (BIAT),Gabès,7
2020-01-20,Banque Tuniso-Libyenne (BTL),Ben Arous,3
2020-01-20,La Poste Tunisienne,Tozeur,5
2020-01-20,Arab Banking Corporation (ABC),Sfax,7
2020-01-21,La Poste Tunisienne,Monastir,1
2020-01-21,Banque de l'Habitat (BH),Kasserine,3
2020-01-21,Banque Tuniso-Libyenne (BTL),Kairouan,1
2020-01-21,Arab Banking Corporation (ABC),Jendouba,1
2020-01-21,Amen Bank (AB),Gafsa,6
2020-01-21,Banque de l'Habitat (BH),Béja,8
2020-01-21,Amen Bank (AB),Bizerte,6
2020-01-21,Attijari Bank,Siliana,4
2020-01-21,Arab Tunisian Bank (ATB),Sidi Bouzid,8
2020-01-22,Banque de l'Habitat (BH),Gabès,1
2020-01-22,Banque de Tunisie (BT),Siliana,2
2020-01-22,La Poste Tunisienne,Tunis,5
2020-01-22,Banque Nationale Agricole (BNA),Medenine,1
2020-01-22,La Poste Tunisienne,Bizerte,8
2020-01-22,Banque Tuniso-Libyenne (BTL),Tozeur,1
2020-01-23,Banque de Tunisie (BT),Sousse,7
2020-01-24,Attijari Bank,Zaghouan,1
2020-01-24,Banque Internationale Arabe de Tunisie (BIAT),Sousse,6
2020-01-24,Arab Banking Corporation (ABC),Mahdia,3
2020-01-24,Attijari Bank,Gafsa,3
2020-01-24,Amen Bank (AB),Sousse,6
2020-01-24,Amen Bank (AB),Nabeul,2
2020-01-24,Arab Banking Corporation (ABC),Zaghouan,2
2020-01-25,Arab Banking Corporation (ABC),Jendouba,3
2020-01-25,Banque de Tunisie (BT),Siliana,3
2020-01-25,Amen Bank (AB),Béja,5
2020-01-25,Amen Bank (AB),Kairouan,8
2020-01-25,Attijari Bank,Sfax,2
2020-01-25,Arab Banking Corporation (ABC),Tataouine,6
2020-01-25,Banque Internationale Arabe de Tunisie (BIAT),Jendouba,6
2020-01-25,La Poste Tunisienne,Manouba,3
2020-01-25,Arab Banking Corporation (ABC),Kairouan,1
2020-01-25,Amen Bank (AB),Sousse,3
2020-01-25,Banque de l'Habitat (BH),Medenine,3
2020-01-25,Banque de Tunisie (BT),Tataouine,7
2020-01-26,La Poste Tunisienne,Kasserine,2
2020-01-26,Attijari Bank,Manouba,5
2020-01-26,Attijari Bank,Tataouine,6
2020-01-27,La Poste Tunisienne,Béja,6
2020-01-27,Arab Banking Corporation (ABC),Béja,8
2020-01-27,La Poste Tunisienne,Sousse,6
2020-01-27,Banque de l'Habitat (BH),Tataouine,5
2020-01-27,Banque de l'Habitat (BH),Zaghouan,4
2020-01-27,La Poste Tunisienne,Jendouba,8
2020-01-27,Banque Nationale Agricole (BNA),Kebili,8
2020-01-27,Amen Bank (AB),Ben Arous,2
2020-01-27,La Poste Tunisienne,Bizerte,5
2020-01-28,Arab Banking Corporation (ABC),Medenine,6
2020-01-28,Arab Banking Corporation (ABC),Kairouan,4
2020-01-28,Banque Nationale Agricole (BNA),Gabès,2
2020-01-28,Attijari Bank,Jendouba,7
2020-01-29,Banque Nationale Agricole (BNA),Manouba,3
2020-01-29,Amen Bank (AB),Gafsa,3
2020-01-29,La Poste Tunisienne,Monastir,5
2020-01-29,Amen Bank (AB),Ben Arous,6
2020-01-30,Banque Tuniso-Libyenne (BTL),Kebili,2
2020-01-30,La Poste Tunisienne,Bizerte,4
2020-01-30,Amen Bank (AB),Kasserine,1
2020-01-30,La Poste Tunisienne,Tozeur,8
2020-01-30,Arab Tunisian Bank (ATB),Medenine,3
2020-01-30,Amen Bank (AB),Ariana,4
2020-01-31,Banque de l'Habitat (BH),Sidi Bouzid,6
2020-01-31,Arab Banking Corporation (ABC),Gafsa,2
2020-01-31,Amen Bank (AB),Medenine,2
2020-01-31,Banque Nationale Agricole (BNA),Tozeur,7
2020-01-31,Attijari Bank,Kairouan,8
2020-01-31,Arab Tunisian Bank (ATB),Zaghouan,8
2020-02-01,Banque Internationale Arabe de Tunisie (BIAT),Sidi Bouzid,5
2020-02-01,La Poste Tunisienne,Jendouba,6
2020-02-01,Banque Tuniso-Libyenne (BTL),Siliana,2
2020-02-01,Banque Nationale Agricole (BNA),Nabeul,5
2020-02-01,Banque Internationale Arabe de Tunisie (BIAT),Jendouba,6
2020-02-01,La Poste Tunisienne,Monastir,7
2020-02-02,Amen Bank (AB),Bizerte,6
2020-02-02,Amen Bank (AB),Ariana,1
2020-02-02,Attijari Bank,Medenine,5
2020-02-02,La Poste Tunisienne,Kasserine,2
2020-02-02,Banque de Tunisie (BT),Tataouine,3
2020-02-02,Banque de l'Habitat (BH),Gabès,5
2020-02-02,Banque Nationale Agricole (BNA),Tataouine,2
2020-02-02,Banque de Tunisie (BT),Ben Arous,2
2020-02-03,Banque Internationale Arabe de Tunisie (BIAT),Mahdia,7
2020-02-03,Arab Banking Corporation (ABC),Siliana,5
2020-02-03,Banque Tuniso-Libyenne (BTL),Kef,2
2020-02-03,Arab Tunisian Bank (ATB),Kebili,5
2020-02-03,Arab Tunisian Bank (ATB),Tataouine,7
2020-02-03,Arab Tunisian Bank (ATB),Nabeul,4
2020-02-03,Banque de Tunisie (BT),Sfax,5
2020-02-03,Banque de l'Habitat (BH),Siliana,7
2020-02-03,Banque de Tunisie (BT),Nabeul,8
2020-02-03,Banque de Tunisie (BT),Nabeul,4
2020-02-03,Banque Tuniso-Libyenne (BTL),Jendouba,3
2020-02-03,Banque Tuniso-Libyenne (BTL),Ben Arous,7
2020-02-03,Banque Tuniso-Libyenne (BTL),Mahdia,5
2020-02-04,Arab Banking Corporation (ABC),Sidi Bouzid,6
2020-02-04,Banque Nationale Agricole (BNA),Bizerte,2
2020-02-04,Banque Internationale Arabe de Tunisie (BIAT),Béja,4
2020-02-04,Arab Banking Corporation (ABC),Ben Arous,8
2020-02-05,La Poste Tunisienne,Medenine,5
2020-02-05,Banque Tuniso-Libyenne (BTL),Medenine,7
2020-02-05,Banque Internationale Arabe de Tunisie (BIAT),Bizerte,1
2020-02-05,Banque de l'Habitat (BH),Monastir,8
2020-02-05,Banque Tuniso-Libyenne (BTL),Gabès,3
2020-02-05,Attijari Bank,Medenine,1
2020-02-05,Arab Banking Corporation (ABC),Kebili,7
2020-02-05,Attijari Bank,Kasserine,2
2020-02-06,Arab Tunisian Bank (ATB),Zaghouan,5
2020-02-06,Banque de l'Habitat (BH),Kef,5
2020-02-06,Banque Tuniso-Libyenne (BTL),Siliana,4
2020-02-06,Attijari Bank,Kairouan,1
2020-02-06,Banque Internationale Arabe de Tunisie (BIAT),Tozeur,1
2020-02-06,Attijari Bank,Kef,5
2020-02-06,Arab Tunisian Bank (ATB),Nabeul,2
2020-02-06,Amen Bank (AB),Tozeur,4
2020-02-06,Banque Tuniso-Libyenne (BTL),Kebili,5
2020-02-06,Attijari Bank,Sousse,6
2020-02-06,Arab Tunisian Bank (ATB),Kef,5
2020-02-06,Banque Tuniso-Libyenne (BTL),Mahdia,5
2020-02-07,Amen Bank (AB),Medenine,8
2020-02-07,Banque Nationale Agricole (BNA),Tataouine,4
2020-02-07,Banque de Tunisie (BT),Sfax,3
2020-02-07,Banque de Tunisie (BT),Jendouba,7
2020-02-07,Amen Bank (AB),Jendouba,5
2020-02-07,Banque de l'Habitat (BH),Kef,5
2020-02-07,Banque Internationale Arabe de Tunisie (BIAT),Bizerte,8
2020-02-07,Banque Tuniso-Libyenne (BTL),Tozeur,1
2020-02-08,Banque Tuniso-Libyenne (BTL),Ben Arous,1
2020-02-08,Banque de Tunisie (BT),Siliana,1
2020-02-09,Banque Nationale Agricole (BNA),Ben Arous,2
2020-02-09,Attijari Bank,Sidi Bouzid,1
2020-02-09,Amen Bank (AB),Monastir,4
2020-02-09,Banque de Tunisie (BT),Sfax,5
2020-02-09,Amen Bank (AB),Ben Arous,5
2020-02-09,Banque Tuniso-Libyenne (BTL),Sousse,6
2020-02-09,Banque de l'Habitat (BH),Jendouba,8
2020-02-10,La Poste Tunisienne,Sousse,2
2020-02-10,Banque de l'Habitat (BH),Zaghouan,4
2020-02-10,Arab Banking Corporation (ABC),Béja,6
2020-02-10,Attijari Bank,Béja,2
2020-02-11,Banque de Tunisie (BT),Kef,7
2020-02-11,Banque Internationale Arabe de Tunisie (BIAT),Nabeul,1
2020-02-11,Banque Nationale Agricole (BNA),Gafsa,4
2020-02-11,Banque Tuniso-Libyenne (BTL),Tozeur,2
2020-02-11,Banque Tuniso-Libyenne (BTL),Zaghouan,7
2020-02-11,Banque de Tunisie (BT),Kairouan,7
2020-02-12,Arab Banking Corporation (ABC),Tozeur,2
2020-02-12,Banque Tuniso-Libyenne (BTL),Kef,4
2020-02-12,Arab Tunisian Bank (ATB),Kasserine,7
2020-02-12,Amen Bank (AB),Monastir,6
2020-02-12,Arab Banking Corporation (ABC),Medenine,1
2020-02-12,Banque de Tunisie (BT),Mahdia,8
2020-02-12,Amen Bank (AB),Manouba,1
2020-02-13,La Poste Tunisienne,Gafsa,6
2020-02-13,La Poste Tunisienne,Sidi Bouzid,3
2020-02-13,Banque de l'Habitat (BH),Ariana,1
2020-02-14,Arab Banking Corporation (ABC),Manouba,7
2020-02-14,La Poste Tunisienne,Bizerte,2
2020-02-14,Banque de l'Habitat (BH),Kairouan,3
2020-02-14,Banque Tuniso-Libyenne (BTL),Tozeur,1
2020-02-14,Arab Tunisian Bank (ATB),Tozeur,1
2020-02-14,Banque Nationale Agricole (BNA),Tunis,5
2020-02-14,Banque de Tunisie (BT),Sidi Bouzid,6
2020-02-14,Amen Bank (AB),Mahdia,5
2020-02-15,Banque Tuniso-Libyenne (BTL),Manouba,8
2020-02-15,Arab Banking Corporation (ABC),Kairouan,2
2020-02-15,Banque Nationale Agricole (BNA),Kasserine,8
2020-02-15,Banque Nationale Agricole (BNA),Kef,6
2020-02-15,La Poste Tunisienne,Tozeur,7
2020-02-15,Arab Banking Corporation (ABC),Ben Arous,4
2020-02-15,Banque Tuniso-Libyenne (BTL),Sfax,3
2020-02-15,Banque Nationale Agricole (BNA),Jendouba,4
2020-02-15,Amen Bank (AB),Mahdia,5
2020-02-15,Banque Nationale Agricole (BNA),Gafsa,6
2020-02-15,Arab Banking Corporation (ABC),Kasserine,7
2020-02-15,Banque Nationale Agricole (BNA),Béja,5
2020-02-15,Banque Tuniso-Libyenne (BTL),Ben Arous,4
2020-02-16,Arab Tunisian Bank (ATB),Béja,6
2020-02-16,Arab Banking Corporation (ABC),Sousse,4
2020-02-16,Banque Internationale Arabe de Tunisie (BIAT),Siliana,7
2020-02-16,Banque Internationale Arabe de Tunisie (BIAT),Nabeul,2
2020-02-16,Arab Banking Corporation (ABC),Sidi Bouzid,2
2020-02-17,La Poste Tunisienne,Bizerte,6
2020-02-17,Banque Nationale Agricole (BNA),Kairouan,1
2020-02-17,Arab Banking Corporation (ABC),Manouba,5
2020-02-17,Attijari Bank,Tataouine,1
2020-02-17,Arab Tunisian Bank (ATB),Gabès,1
2020-02-17,Attijari Bank,Sousse,1
2020-02-18,La Poste Tunisienne,Manouba,1
2020-02-18,Banque de l'Habitat (BH),Kasserine,8
2020-02-18,Arab Tunisian Bank (ATB),Gabès,1
2020-02-18,Banque de l'Habitat (BH),Tataouine,4
2020-02-18,Amen Bank (AB),Mahdia,7
2020-02-18,La Poste Tunisienne,Sfax,3
2020-02-18,Banque de l'Habitat (BH),Kairouan,7
2020-02-19,Attijari Bank,Monastir,2
2020-02-19,Arab Banking Corporation (ABC),Manouba,1
2020-02-19,Banque Tuniso-Libyenne (BTL),Bizerte,3
2020-02-19,Attijari Bank,Kef,8
2020-02-19,Banque Tuniso-Libyenne (BTL),Kef,3
2020-02-19,Amen Bank (AB),Jendouba,3
2020-02-20,Banque Tuniso-Libyenne (BTL),Kairouan,7
2020-02-20,Banque Tuniso-Libyenne (BTL),Ariana,8
2020-02-20,Banque Internationale Arabe de Tunisie (BIAT),Gafsa,6
2020-02-20,Banque Tuniso-Libyenne (BTL),Mahdia,6
2020-02-20,Banque Tuniso-Libyenne (BTL),Manouba,3
2020-02-20,Banque Nationale Agricole (BNA),Siliana,8
2020-02-21,Banque de Tunisie (BT),Sousse,3
2020-02-21,Attijari Bank,Sousse,3
2020-02-22,Attijari Bank,Mahdia,1
2020-02-22,Arab Banking Corporation (ABC),Sousse,8
2020-02-22,Banque de Tunisie (BT),Siliana,6
2020-02-22,Banque Nationale Agricole (BNA),Siliana,4
2020-02-22,Banque Tuniso-Libyenne (BTL),Medenine,5
2020-02-22,Banque de Tunisie (BT),Kebili,8
2020-02-22,La Poste Tunisienne,Tunis,5
2020-02-23,Attijari Bank,Nabeul,7
2020-02-23,Banque de l'Habitat (BH),Kairouan,5
2020-02-23,Amen Bank (AB),Zaghouan,7
2020-02-23,Banque de l'Habitat (BH),Ariana,5
2020-02-23,Attijari Bank,Ariana,1
2020-02-24,Amen Bank (AB),Nabeul,4
2020-02-24,Banque Tuniso-Libyenne (BTL),Ben Arous,8
2020-02-24,Banque Tuniso-Libyenne (BTL),Tunis,1
2020-02-24,Attijari Bank,Manouba,5
2020-02-24,Banque Nationale Agricole (BNA),Bizerte,2
2020-02-24,Banque de Tunisie (BT),Sousse,2
2020-02-24,Arab Banking Corporation (ABC),Zaghouan,4
2020-02-25,La Poste Tunisienne,Monastir,7
2020-02-25,Banque de l'Habitat (BH),Monastir,4
2020-02-25,Attijari Bank,Medenine,8
2020-02-25,La Poste Tunisienne,Monastir,7
2020-02-25,Banque Internationale Arabe de Tunisie (BIAT),Gafsa,4
2020-02-26,Banque Tuniso-Libyenne (BTL),Kasserine,5
2020-02-26,Arab Banking Corporation (ABC),Ben Arous,4
2020-02-26,Arab Tunisian Bank (ATB),Tataouine,7
2020-02-26,La Poste Tunisienne,Kairouan,1
2020-02-27,Banque Internationale Arabe de Tunisie (BIAT),Manouba,2
2020-02-27,La Poste Tunisienne,Gabès,2
2020-02-27,La Poste Tunisienne,Béja,8
2020-02-27,Banque Internationale Arabe de Tunisie (BIAT),Siliana,7
2020-02-27,La Poste Tunisienne,Monastir,7
2020-02-27,Banque Tuniso-Libyenne (BTL),Gafsa,3
2020-02-27,La Poste Tunisienne,Sfax,2
2020-02-27,La Poste Tunisienne,Sidi Bouzid,3
2020-02-28,Amen Bank (AB),Kasserine,5
2020-02-28,Banque de l'Habitat (BH),Ben Arous,1
2020-02-28,Banque Nationale Agricole (BNA),Tunis,6
2020-02-28,Banque Internationale Arabe de Tunisie (BIAT),Monastir,6
2020-02-28,La Poste Tunisienne,Béja,1
2020-02-28,Banque Tuniso-Libyenne (BTL),Nabeul,2
2020-02-28,Arab Tunisian Bank (ATB),Medenine,7
2020-02-28,Attijari Bank,Sfax,8
2020-02-28,Amen Bank (AB),Tataouine,4
2020-02-29,Banque de Tunisie (BT),Siliana,4
2020-02-29,Banque Nationale Agricole (BNA),Sousse,2
2020-02-29,Amen Bank (AB),Sousse,1
2020-02-29,Banque Nationale Agricole (BNA),Monastir,1
2020-02-29,Banque de Tunisie (BT),Zaghouan,1
2020-02-29,Amen Bank (AB),Sfax,8
2020-02-29,Banque Tuniso-Libyenne (BTL),Tataouine,6
2020-03-01,Banque Internationale Arabe de Tunisie (BIAT),Tunis,2
2020-03-01,Banque Nationale Agricole (BNA),Sousse,8
2020-03-01,Banque Tuniso-Libyenne (BTL),Monastir,5
2020-03-01,Amen Bank (AB),Manouba,8
2020-03-01,Banque Tuniso-Libyenne (BTL),Zaghouan,6
2020-03-01,Banque Nationale Agricole (BNA),Manouba,8
2020-03-02,Amen Bank (AB),Tozeur,8
2020-03-02,Banque Tuniso-Libyenne (BTL),Tozeur,3
2020-03-02,Banque de Tunisie (BT),Ben Arous,6
2020-03-02,Banque Nationale Agricole (BNA),Kebili,2
2020-03-02,Banque Internationale Arabe de Tunisie (BIAT),Sidi Bouzid,6
2020-03-02,Arab Tunisian Bank (ATB),Manouba,4
2020-03-02,Banque de l'Habitat (BH),Ben Arous,7
2020-03-03,Arab Banking Corporation (ABC),Sidi Bouzid,2
2020-03-03,Banque Internationale Arabe de Tunisie (BIAT),Manouba,6
2020-03-03,Banque Nationale Agricole (BNA),Sfax,4
2020-03-04,Arab Tunisian Bank (ATB),Gafsa,6
2020-03-04,Arab Banking Corporation (ABC),Jendouba,3
2020-03-04,La Poste Tunisienne,Sousse,3
2020-03-04,Banque de Tunisie (BT),Nabeul,7
2020-03-05,Banque Nationale Agricole (BNA),Jendouba,7
2020-03-05,Banque Nationale Agricole (BNA),Kebili,7
2020-03-05,Banque de Tunisie (BT),Tozeur,4
2020-03-05,Banque Tuniso-Libyenne (BTL),Sidi Bouzid,4
2020-03-05,Banque de Tunisie (BT),Sousse,8
2020-03-05,Arab Tunisian Bank (ATB),Mahdia,4
2020-03-05,Banque Internationale Arabe de Tunisie (BIAT),Nabeul,2
2020-03-05,Arab Tunisian Bank (ATB),Monastir,2
2020-03-05,Banque Internationale Arabe de Tunisie (BIAT),Gafsa,6
2020-03-06,Attijari Bank,Gabès,1
2020-03-06,Arab Tunisian Bank (ATB),Mahdia,5
2020-03-06,Amen Bank (AB),Sfax,8
2020-03-06,Banque de Tunisie (BT),Sousse,4
2020-03-06,Banque de l'Habitat (BH),Monastir,3
2020-03-06,La Poste Tunisienne,Bizerte,4
2020-03-07,Banque de Tunisie (BT),Manouba,7
2020-03-07,La Poste Tunisienne,Gafsa,5
2020-03-07,Attijari Bank,Jendouba,3
2020-03-08,Arab Tunisian Bank (ATB),Manouba,6
2020-03-08,La Poste Tunisienne,Sfax,3
2020-03-08,Banque Tuniso-Libyenne (BTL),Jendouba,7
2020-03-08,Banque de l'Habitat (BH),Tozeur,2
2020-03-08,Banque de Tunisie (BT),Ben Arous,5
2020-03-08,Amen Bank (AB),Gafsa,4
2020-03-09,Arab Banking Corporation (ABC),Kairouan,1
2020-03-09,Banque Internationale Arabe de Tunisie (BIAT),Sidi Bouzid,1
2020-03-09,Banque Tuniso-Libyenne (BTL),Nabeul,5
2020-03-09,Attijari Bank,Kairouan,8
2020-03-10,Arab Tunisian Bank (ATB),Gafsa,8
2020-03-10,Banque de Tunisie (BT),Nabeul,3
2020-03-10,Amen Bank (AB),Sfax,3
2020-03-10,Arab Tunisian Bank (ATB),Ben Arous,2
2020-03-10,Banque Nationale Agricole (BNA),Kairouan,6
2020-03-10,Amen Bank (AB),Tataouine,4
2020-03-10,Banque Internationale Arabe de Tunisie (BIAT),Zaghouan,8
2020-03-10,Attijari Bank,Tunis,1
2020-03-10,Attijari Bank,Manouba,5
2020-03-10,Banque Tuniso-Libyenne (BTL),Medenine,3
2020-03-10,La Poste Tunisienne,Nabeul,7
2020-03-10,Attijari Bank,Mahdia,1
2020-03-11,Arab Banking Corporation (ABC),Medenine,3
2020-03-11,Banque Tuniso-Libyenne (BTL),Bizerte,6
2020-03-11,Banque Internationale Arabe de Tunisie (BIAT),Kebili,7
2020-03-11,Attijari Bank,Manouba,3
2020-03-11,Amen Bank (AB),Zaghouan,3
2020-03-11,Banque Tuniso-Libyenne (BTL),Siliana,6
2020-03-11,La Poste Tunisienne,Gafsa,7
2020-03-11,Banque Tuniso-Libyenne (BTL),Ariana,6
2020-03-11,Arab Tunisian Bank (ATB),Béja,7
2020-03-11,Arab Banking Corporation (ABC),Mahdia,5
2020-03-11,Banque Nationale Agricole (BNA),Kasserine,6
2020-03-12,Amen Bank (AB),Sfax,7
2020-03-12,Banque Nationale Agricole (BNA),Sfax,1
2020-03-12,Banque de Tunisie (BT),Ben Arous,5
2020-03-12,Arab Tunisian Bank (ATB),Sidi Bouzid,5
2020-03-12,Arab Tunisian Bank (ATB),Kairouan,6
2020-03-13,Arab Banking Corporation (ABC),Jendouba,4
2020-03-13,Banque Internationale Arabe de Tunisie (BIAT),Monastir,1
2020-03-13,La Poste Tunisienne,Tunis,6
2020-03-13,Amen Bank (AB),Béja,6
2020-03-13,Banque Internationale Arabe de Tunisie (BIAT),Jendouba,7
2020-03-13,Attijari Bank,Kebili,5
2020-03-13,Banque de Tunisie (BT),Sfax,5
2020-03-14,Banque de Tunisie (BT),Kebili,1
2020-03-14,Arab Banking Corporation (ABC),Bizerte,6
2020-03-14,Banque de Tunisie (BT),Manouba,7
2020-03-14,Arab Banking Corporation (ABC),Bizerte,4
2020-03-14,Banque Internationale Arabe de Tunisie (BIAT),Kebili,5
2020-03-14,Banque Internationale Arabe de Tunisie (BIAT),Tataouine,2
2020-03-14,Arab Tunisian Bank (ATB),Kef,1
2020-03-14,Banque Tuniso-Libyenne (BTL),Jendouba,5
2020-03-14,Banque Nationale Agricole (BNA),Kairouan,1
2020-03-15,Banque de l'Habitat (BH),Kef,4
2020-03-15,Arab Banking Corporation (ABC),Gafsa,4
2020-03-15,Arab Tunisian Bank (ATB),Bizerte,1
2020-03-15,Banque Tuniso-Libyenne (BTL),Béja,5
2020-03-15,Amen Bank (AB),Siliana,1
2020-03-15,Banque Nationale Agricole (BNA),Sfax,6
2020-03-15,Banque Tuniso-Libyenne (BTL),Mahdia,8
2020-03-15,Banque Nationale Agricole (BNA),Siliana,7
